track_id,seed_id,particleId,nStates,nMajorityHits,nMeasurements,nOutliers,nHoles,nSharedHits,chi2,ndf,chi2/ndf,pT,eta,phi,truthMatchProbability,good/duplicate/fake,Hits_ID
2726,233410,584|0|46|0|0,26,14,14,0,0,0,42.2741,30,1.40914,1.00448,0.659495,2.92336,1,good,"[31276,32491,38049,54291,54542,65895,108753,120135,128752,135347,171905,171911,179778,179782,]"
2725,233265,528|0|14|0|0,32,2,7,10,0,0,29.8058,11,2.70962,1.30169,1.80839,3.11754,0.285714,fake,"[32082,109408,140033,188859,188842,193774,193767,]"
2724,233162,109|0|24|0|0,27,15,15,0,0,0,22.8344,29,0.787392,1.00886,0.65388,2.94542,1,good,"[31340,32545,38068,54551,65901,108740,120138,128754,135349,172035,171913,171916,179851,179776,179780,]"
2723,233142,199|0|156|0|0,29,16,16,0,0,0,32.6997,31,1.05483,1.00186,1.08419,2.94523,1,good,"[31158,32357,38014,54554,65902,108763,120153,128827,128760,135355,172060,172064,171947,171951,184528,184534,]"
2722,233070,364|0|99|0|0,25,13,13,0,0,0,18.4115,26,0.708135,1.68369,1.73288,3.13225,1,good,"[38225,54649,65961,66094,109432,120197,140024,144343,147840,188863,188877,191822,191834,]"
2721,233047,319|50|252|0|0,29,4,7,8,0,0,34.4533,10,3.44533,1.12625,1.73616,3.075,0.571429,good,"[32303,109419,188927,191859,191871,191889,191880,]"
2720,233018,576|0|351|0|0,24,11,12,0,0,0,25.1633,24,1.04847,1.32522,0.220952,3.08795,0.916667,good,"[32487,38560,54785,66141,109329,120300,128974,135441,172012,172015,179829,179832,]"
2719,232870,408|0|11|0|0,26,14,14,0,0,0,11.0245,28,0.393732,2.15272,0.33348,3.01992,1,good,"[32418,38033,54535,65890,108729,120125,119952,128660,135156,135112,171515,171518,179362,179366,]"
2718,232853,601|0|18|0|0,22,10,11,0,0,0,9.64128,21,0.459109,2.92983,0.0334688,3.11374,0.909091,good,"[38565,54788,66143,109315,120293,128808,135396,172001,172003,179750,179753,]"
2717,232828,120|0|27|0|0,24,11,11,0,0,0,11.947,27,0.44248,1.33641,2.23943,-3.13006,1,good,"[32549,38214,54671,73707,76790,138599,141917,146799,150305,154637,157493,]"
2716,232820,538|0|145|0|0,23,10,10,0,0,0,19.218,24,0.800749,1.54257,2.14131,3.03044,1,good,"[32663,37675,54420,73689,108873,138579,141900,146760,150263,154610,]"
2715,232713,576|0|350|0|0,28,16,16,0,0,0,19.6866,29,0.678848,1.41631,0.422394,-3.11829,1,good,"[32486,38559,54784,66155,109328,120299,120126,128745,135202,171637,171642,171520,179442,179443,179368,179370,]"
2714,232517,631|0|108|0|0,32,17,18,0,0,0,15.4112,36,0.428088,1.38143,1.75328,2.90119,0.944444,good,"[31292,32507,38156,54120,65685,65821,108819,120204,120008,140033,144348,147851,188872,188886,188923,188905,191850,191846,]"
